build_duration,error_count,failed_tests,cpu_usage,memory_usage,previous_status,deployment_frequency,status
43,2,7,52,43,1,8,1
56,7,5,55,31,1,8,1
33,19,6,39,66,1,6,1
19,15,2,81,98,1,3,1
47,12,13,92,67,1,3,1
12,17,14,45,70,1,1,1
25,9,0,85,91,1,7,1
43,18,4,92,89,0,5,1
23,16,13,92,43,1,4,1
27,18,11,59,31,1,4,1
15,4,11,36,99,1,4,1
15,8,1,20,46,0,6,0
28,11,13,80,57,0,8,1
57,0,4,62,95,1,8,1
40,0,7,61,64,1,5,1
44,14,10,44,34,1,6,1
28,1,8,58,94,0,4,1
7,15,1,54,69,0,9,1
26,7,11,22,85,1,8,1
57,12,2,63,65,0,1,1
6,0,2,70,74,1,2,0
28,15,0,31,52,0,9,1
48,6,7,38,76,0,8,1
34,4,5,63,60,1,3,1
42,2,11,78,40,1,8,1
6,11,12,68,39,1,1,1
25,15,7,80,96,1,4,1
37,18,10,36,43,0,3,1
16,4,8,93,39,0,6,1
26,13,4,76,30,0,7,1
48,4,13,74,34,1,4,1
29,14,11,66,49,0,7,1
53,16,13,31,37,1,9,1
31,13,2,81,72,0,2,1
46,19,4,99,30,1,3,1
32,4,4,27,86,1,5,1
20,11,4,40,93,0,3,1
19,15,2,99,57,1,8,1
51,15,10,89,66,1,8,1
55,6,13,91,76,0,8,1
48,3,9,44,66,1,9,1
59,0,13,31,78,1,4,1
56,4,3,34,73,1,5,1
7,9,8,78,85,0,5,1
41,4,12,45,57,0,8,1
55,3,9,45,35,1,7,1
11,1,8,66,90,0,9,1
25,19,1,51,49,1,8,1
13,9,7,29,31,1,2,1
43,18,7,35,66,1,4,1
22,0,6,90,49,1,6,1
8,4,7,36,55,1,2,1
29,12,13,42,58,0,7,1
18,3,2,45,30,1,3,0
54,15,12,26,64,0,3,1
13,15,5,33,99,0,2,1
30,1,0,98,88,1,8,1
57,16,6,26,98,1,6,1
6,19,14,28,62,0,1,1
24,11,14,67,80,0,1,1
32,17,0,91,41,0,7,1
51,2,8,78,49,1,8,1
11,0,0,58,82,0,5,0
48,0,0,37,72,1,5,0
12,18,14,78,79,1,4,1
51,10,6,36,58,1,6,1
39,4,1,33,86,0,6,0
18,11,13,50,68,1,3,1
21,2,4,43,85,1,9,1
40,0,7,79,72,1,7,1
54,0,7,64,79,1,1,1
44,7,2,22,52,1,7,1
8,9,6,56,73,0,5,1
6,10,2,62,67,1,5,1
10,11,5,59,52,1,2,1
58,12,5,74,74,0,4,1
